old_url,new_url,classification,redirect_status,confidence,inventory_source,reason
https://rnrgallery.com/product/wedding-photo-printing/,https://rnrgallery.com/products/photo-print-canvas,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/tell-me-your-idea-and-i-will-help-you-realize-it/,,retired-410,410,low,product-sitemap,No approved one-to-one current equivalent; retired with 410
https://rnrgallery.com/product/roll-up-banner-with-free-professional-custom-design/,https://rnrgallery.com/products/roll-up-banner,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/roll-up-banner-with-free-professional-custom-design-for-loss-of-loved-one/,https://rnrgallery.com/products/roll-up-banner,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/roll-up-banner-with-free-professional-custom-design-for-wedding-anniversary/,https://rnrgallery.com/products/roll-up-banner,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/roll-up-banner-with-free-professional-custom-design-for-business/,https://rnrgallery.com/products/roll-up-banner,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/roll-up-banner-with-free-professional-custom-design-for-21st-birthday/,https://rnrgallery.com/products/roll-up-banner,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/21st-birthday/,https://rnrgallery.com/products/roll-up-banner,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/roll-up-banner-with-free-professional-custom-design-for-5th-birthday/,https://rnrgallery.com/products/roll-up-banner,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/roll-up-banner-with-free-professional-custom-design-for-1st-birthday/,https://rnrgallery.com/products/roll-up-banner,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/digital-oil-painting-digital-copy-only/,,retired-410,410,low,product-sitemap,No current equivalent; retired with 410
https://rnrgallery.com/product/six-faces-or-more-customized-digital-oil-painting-with-canvas/,https://rnrgallery.com/products/digital-oil-painting-canvas,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/turn-a-low-quality-image-into-a-refined-artwork-ready-for-display-with-canvas/,https://rnrgallery.com/products/digital-oil-painting-canvas,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/multi-photo-artwork-blends-on-canvas-copy/,https://rnrgallery.com/products/custom-themed-canvas,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/single-face-customized-digital-oil-painting-on-banner/,https://rnrgallery.com/products/digital-oil-painting-banner,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/single-face-digital-painting-on-banner-copy/,https://rnrgallery.com/products/digital-oil-painting-banner,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/two-face-digital-painting-on-banner/,https://rnrgallery.com/products/digital-oil-painting-banner,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/four-face-digital-painting-on-banner/,https://rnrgallery.com/products/digital-oil-painting-banner,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/five-face-digital-painting-on-banner/,https://rnrgallery.com/products/digital-oil-painting-banner,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/six-faces-digital-painting-on-banner/,https://rnrgallery.com/products/digital-oil-painting-banner,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/custom-themed-banner/,https://rnrgallery.com/products/custom-themed-wall-banner,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/poor-photo-to-a-masterpiece/,https://rnrgallery.com/products/digital-oil-painting-canvas,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/locations.kml,,retired-410,410,low,local-sitemap,No current equivalent; retired with 410
https://rnrgallery.com/product-category/banner/,https://rnrgallery.com/banners,exact-301,301,high,navigation,Direct category equivalent
https://rnrgallery.com/product-category/banner/landscape-banner/,https://rnrgallery.com/products/custom-themed-wall-banner,exact-301,301,medium,navigation,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product-category/banner/roll-up-banner/,https://rnrgallery.com/products/roll-up-banner,exact-301,301,high,navigation,Direct product-family equivalent
https://rnrgallery.com/product-category/canvas/,https://rnrgallery.com/canvas,exact-301,301,high,navigation,Direct category equivalent
https://rnrgallery.com/product-category/canvas/custom-collage-photos-on-canvas/,https://rnrgallery.com/products/custom-themed-canvas,exact-301,301,medium,navigation,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product-category/canvas/customized-digital-oil-painting-on-canvas/,https://rnrgallery.com/products/digital-oil-painting-canvas,exact-301,301,medium,navigation,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product-category/canvas/normal-canvas/,https://rnrgallery.com/products/photo-print-canvas,exact-301,301,medium,navigation,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product-category/canvas/wall-art/,,retired-410,410,low,navigation,No approved one-to-one current equivalent; retired with 410
https://rnrgallery.com/product-category/digital-oil-painting-digital-copy-only/,,retired-410,410,low,navigation,No current equivalent; retired with 410
https://rnrgallery.com/product-tag/air-jordan/,,retired-410,410,low,navigation,No current equivalent; retired with 410
https://rnrgallery.com/product-tag/basketball/,,retired-410,410,low,navigation,No current equivalent; retired with 410
https://rnrgallery.com/product-tag/birthday/,,retired-410,410,low,navigation,No current equivalent; retired with 410
https://rnrgallery.com/product-tag/business/,,retired-410,410,low,navigation,No current equivalent; retired with 410
https://rnrgallery.com/product-tag/cook-island-pattern/,,retired-410,410,low,navigation,No current equivalent; retired with 410
https://rnrgallery.com/product-tag/digital-oil-painting/,,retired-410,410,low,navigation,No current equivalent; retired with 410
https://rnrgallery.com/product-tag/funeral/,,retired-410,410,low,navigation,No current equivalent; retired with 410
https://rnrgallery.com/product-tag/heaven/,,retired-410,410,low,navigation,No current equivalent; retired with 410
https://rnrgallery.com/product-tag/loss-of-loved-one/,,retired-410,410,low,navigation,No current equivalent; retired with 410
https://rnrgallery.com/product-tag/loved/,,retired-410,410,low,navigation,No current equivalent; retired with 410
https://rnrgallery.com/product-tag/maori-pattern/,,retired-410,410,low,navigation,No current equivalent; retired with 410
https://rnrgallery.com/product-tag/maritime/,,retired-410,410,low,navigation,No current equivalent; retired with 410
https://rnrgallery.com/product-tag/mermaid/,,retired-410,410,low,navigation,No current equivalent; retired with 410
https://rnrgallery.com/product-tag/mine-craft/,,retired-410,410,low,navigation,No current equivalent; retired with 410
https://rnrgallery.com/product-tag/pipi-ma/,,retired-410,410,low,navigation,No current equivalent; retired with 410
https://rnrgallery.com/product-tag/wedding-anniversary/,,retired-410,410,low,navigation,No current equivalent; retired with 410
https://rnrgallery.com/product-tag/wedding/,,retired-410,410,low,navigation,No current equivalent; retired with 410
